"user","weekday","daytime","stress","valence","arousal","n_traj","speed","accuracy","clicks","wheels"
"h8olkrvggts9e3hornrt","Thursday","afternoon",0,7,2,5,0.352052315918744,0.655758748450466,0.00460617227084293,0.00184246890833717
"h8olkrvggts9e3hornrt","Monday","afternoon",0,6,1,2,0.585045677222986,0.576865893547428,0.003584229390681,0
"h8olkrvggts9e3hornrt","Tuesday","afternoon",0,7,1,5,0.482225077790839,0.639817912859447,0.00551267916207277,0
"h8olkrvggts9e3hornrt","Wednesday","morning",0,7,3,16,0.315702062092536,0.583535595156506,0.0055261893320519,0
"h8olkrvggts9e3hornrt","Wednesday","afternoon",0,5,2,33,0.265120297871789,0.564797339568567,0.00340301409820126,0.00952843947496354
"h8olkrvggts9e3hornrt","Wednesday","morning",0,7,3,63,0.346724302567201,0.620727982669407,0.00741485484479075,0.00358175191655146
"1qqgqn6zzmfy4baropsp","Thursday","morning",0,4,6,23,0.362641321960667,0.652544971820382,0.00301786576533076,0.00615644616127475
"h8olkrvggts9e3hornrt","Thursday","afternoon",0,6,3,93,0.336364570978921,0.623663403710887,0.00534930504754938,0.0366221653255304
"h8olkrvggts9e3hornrt","Monday","morning",0,4,3,81,0.334796977597144,0.592314508647491,0.00671446454990327,0.00682826903379993
"h8olkrvggts9e3hornrt","Monday","afternoon",0,4,3,92,0.313964815577751,0.59017211465209,0.0029605610968174,0.0392274345328305
"h8olkrvggts9e3hornrt","Wednesday","afternoon",0,4,3,106,0.272596623966242,0.601850399514692,0.00602202339986235,0.0378097040605644
"h8olkrvggts9e3hornrt","Thursday","morning",0,6,4,4,0.260340418530705,0.675509908936869,0.004739336492891,0
"h8olkrvggts9e3hornrt","Monday","morning",0,6,3,107,0.248356248974744,0.567957614670195,0.0064089480344532,0.00297995672939544
"h8olkrvggts9e3hornrt","Monday","afternoon",0,4,3,112,0.23135422843464,0.561915381040815,0.00381664524671885,0.0239513961911438
"h8olkrvggts9e3hornrt","Wednesday","afternoon",0,5,4,16,0.306515919542468,0.531689353750847,0.0033921302578019,0
"1qqgqn6zzmfy4baropsp","Thursday","afternoon",0,5,3,50,0.2816575982109,0.60335174978522,0.015910780669145,0
"h8olkrvggts9e3hornrt","Thursday","morning",0,3,3,227,0.346287276740642,0.660054332386954,0.00728567288984559,0.0102040816326531
"h8olkrvggts9e3hornrt","Monday","morning",0,6,2,159,0.332849478532803,0.63593003424847,0.00713209751298841,0.0593624150757785
"h8olkrvggts9e3hornrt","Monday","afternoon",0,6,4,195,0.243004038095718,0.534622845049671,0.0055444575808227,0.0284561131721636
"h8olkrvggts9e3hornrt","Friday","morning",0,7,3,14,0.467818382412384,0.622618706329188,0.00467710019787732,0.0019787731606404
"h8olkrvggts9e3hornrt","Friday","afternoon",1,3,5,62,0.273362339026222,0.581871241257426,0.0056573275862069,0.0356950431034483
"h8olkrvggts9e3hornrt","Monday","morning",0,4,3,35,0.363186226577257,0.597053856769743,0.00558733537315418,0.0993747505653851
"h8olkrvggts9e3hornrt","Monday","afternoon",0,5,4,56,0.353726019835989,0.603360700535385,0.00609845701689934,0.0363703159441587
"1qqgqn6zzmfy4baropsp","Friday","morning",0,4,4,37,0.423777042963683,0.652498846914984,0.0107540327622859,0
"h8olkrvggts9e3hornrt","Wednesday","morning",0,5,3,130,0.334089908861175,0.61394086486806,0.00832769849460835,0.00441296843304032
"h8olkrvggts9e3hornrt","Thursday","morning",0,5,4,119,0.222993663176648,0.601560871203222,0.00606435279225176,0.0334422561747476
